Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Answer,Page Title,Order,Version
Are your book fairs in-person?,are-your-book-fairs-in-person,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70092,false,false,Thu Feb 29 2024 00:07:42 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:49:31 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>Yes! We are thrilled to offer a full-service, in-person book fair experience that will captivate the hearts and minds of children, parents, and teachers alike.</p>",Home,5,Public
"But you will have Catholic books, right?",but-you-will-have-catholic-books-right,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700fd,false,false,Thu Feb 29 2024 00:40:15 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:47:47 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes! For our <strong id="""">Catholic schools</strong>, we include a carefully curated selection of Catholic books—stories about the saints, Bible stories, and books that explain the faith in an engaging and age-appropriate way. Many of these titles are co-published by <em id="""">Magnificat</em> and <em id="""">Ignatius Press</em>, including beloved books by Tomie dePaola. We also feature titles from respected Catholic publishers including the Augustine Institute and Bethlehem Books among many others. </p><p id="""">For schools that request a <strong id="""">nonreligious selection</strong>—such as <strong id="""">public charter schools</strong>—we tailor the collection accordingly. No matter the school setting, all books are chosen to be wholesome, enriching, and aligned with the needs of the communities we serve. </p>",FAQs Literature Logistics,,Catholic
Can I see the list of books that is sent to the Ignatius Book Fairs?,can-i-see-the-list-of-books-that-is-sent-to-the-ignatius-book-fairs,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700fe,false,false,Thu Feb 29 2024 00:40:38 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 16:44:06 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 16:44:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Our full book fair list is proprietary, but we’re happy to share a customized preview with schools and organizations after learning more about your goals and needs. In the meantime, you're welcome to browse our <a href=""https://word-edit.officeapps.live.com/we/wordeditorframe.aspx?ui=en-US&rs=en-US&wopisrc=https%3A%2F%2Fmyavemaria-my.sharepoint.com%2Fpersonal%2Fkimberly_neumaier_avemaria_edu%2F_vti_bin%2Fwopi.ashx%2Ffiles%2Fbd0bdb68ed7f4626ab5336318f654318&wdenableroaming=1&mscc=1&wdodb=1&hid=8E09CB1E-2AE6-4AFE-B426-FAC69B77E301.0&uih=sharepointcom&wdlcid=en-US&jsapi=1&jsapiver=v2&corrid=d1f50081-7ce2-2e86-814b-25563d819fa5&usid=d1f50081-7ce2-2e86-814b-25563d819fa5&newsession=1&sftc=1&uihit=docaspx&muv=1&ats=PairwiseBroker&cac=1&sams=1&mtf=1&sfp=1&sdp=1&hch=1&hwfh=1&dchat=1&sc=%7B%22pmo%22%3A%22https%3A%2F%2Fmyavemaria-my.sharepoint.com%22%2C%22pmshare%22%3Atrue%7D&ctp=LeastProtected&rct=Normal&wdorigin=Sharing.ServerTransfer&afdflight=63&csiro=1&instantedit=1&wopicomplete=1&wdredirectionreason=Unified_SingleFlush"" target=""_blank"" id="""">online store</a> to get a sense of our high-quality, mission-aligned titles. </p><p id="""">Our fairs feature a curated selection of both faith-based and wholesome, secular books, carefully chosen to align with the values of the communities we serve. </p><p id="""">‍</p>",FAQs Literature Logistics,,Public
Can I see the list of books that is sent to the Ignatius Book Fairs? ,can-i-see-the-list-of-books-that-is-sent-to-the-ignatius-book-fairs-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70136,false,false,Sat May 24 2025 19:44:32 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 16:43:49 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 18:18:12 GMT+0000 (Coordinated Universal Time),"<p id="""">Our full book fair list is proprietary, but we’re happy to share a customized preview with schools and organizations after learning more about your goals and needs. In the meantime, you're welcome to browse our <a href=""https://word-edit.officeapps.live.com/we/wordeditorframe.aspx?ui=en-US&rs=en-US&wopisrc=https%3A%2F%2Fmyavemaria-my.sharepoint.com%2Fpersonal%2Fkimberly_neumaier_avemaria_edu%2F_vti_bin%2Fwopi.ashx%2Ffiles%2Fbd0bdb68ed7f4626ab5336318f654318&wdenableroaming=1&mscc=1&wdodb=1&hid=8E09CB1E-2AE6-4AFE-B426-FAC69B77E301.0&uih=sharepointcom&wdlcid=en-US&jsapi=1&jsapiver=v2&corrid=d1f50081-7ce2-2e86-814b-25563d819fa5&usid=d1f50081-7ce2-2e86-814b-25563d819fa5&newsession=1&sftc=1&uihit=docaspx&muv=1&ats=PairwiseBroker&cac=1&sams=1&mtf=1&sfp=1&sdp=1&hch=1&hwfh=1&dchat=1&sc=%7B%22pmo%22%3A%22https%3A%2F%2Fmyavemaria-my.sharepoint.com%22%2C%22pmshare%22%3Atrue%7D&ctp=LeastProtected&rct=Normal&wdorigin=Sharing.ServerTransfer&afdflight=63&csiro=1&instantedit=1&wopicomplete=1&wdredirectionreason=Unified_SingleFlush"" target=""_blank"" id="""">online store</a> to get a sense of our high-quality, mission-aligned titles. </p><p id="""">Our fairs feature a curated selection of both faith-based and wholesome, secular books, carefully chosen to align with the values of the communities we serve. </p>",FAQs Literature Logistics,,Catholic
Can we shop for additional books from your website at an in-person book fair?,can-we-shop-for-additional-books-from-your-website-at-an-in-person-book-fair,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70101,false,false,Thu Feb 29 2024 00:41:49 GMT+0000 (Coordinated Universal Time),Mon Oct 06 2025 18:32:00 GMT+0000 (Coordinated Universal Time),Tue Oct 21 2025 22:01:03 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, our website offers an extensive collection of hundreds of more books, with new additions being made regularly. &nbsp;All these books are conveniently available with free shipping to your school during our book fairs. And your school earns Ave dollars for all online purchases.</p>",FAQs Literature Logistics,,Public
Can we shop for additional books from your website at an in-person book fair?,can-we-shop-for-additional-books-from-your-website-at-an-in-person-book-fair-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70138,false,false,Sat May 24 2025 19:56:57 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:57:16 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, our website offers an extensive collection of hundreds of more books, with new additions being made regularly. &nbsp;All these books are conveniently available with free shipping to your school during our book fairs. And your school earns Ave dollars for all online purchases.</p>",FAQs Literature Logistics,,Catholic
Do the Ignatius Book Fairs offer any rewards for schools?,do-the-ignatius-book-fairs-offer-any-rewards-for-schools,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70102,false,false,Thu Feb 29 2024 00:44:32 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:52:02 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>The Ignatius Book Fairs offer 20% in Ave Dollars or 10% cash back on the total of your sales (excluding tax). For book fairs that sell $6,000 or more, we will increase this offer to 40% in Ave Dollars or 20% cash back.</p>",FAQs Reader Rewards,,Public
Do you have a mascot?,do-you-have-a-mascot,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70098,false,false,Thu Feb 29 2024 00:31:46 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:56:13 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>We are thrilled to unveil our new mascot, Loupio, the beloved protagonist of the widely acclaimed comic book series <em id="""">The Adventures of Loupio</em>! Keep an eye out for Loupio as he makes his appearance on our website, social media platforms, and during our exciting book fairs.</p>",FAQs Turning the Page,,Public
Do you have a mascot?,do-you-have-a-mascot-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a7013b,false,true,Sat May 24 2025 20:20:41 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 16:20:45 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes! Our official mascot is <strong id="""">Loupio</strong>, the beloved protagonist of the widely acclaimed comic book series <em id="""">The Adventures of Loupio</em>. You’ll see him featured throughout our website, on social media, and even making appearances during our book fairs—bringing joy, energy, and a love of reading to students and families.</p>",FAQs Turning the Page,,Catholic
Do you have a minimum book fair sales requirement?,do-you-have-a-minimum-book-fair-sales-requirement,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700e4,false,false,Thu Feb 29 2024 00:35:41 GMT+0000 (Coordinated Universal Time),Sat May 24 2025 20:32:56 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>We do not have a set minimum for book fair sales, as we carefully select schools and parishes that are the perfect fit for an engaging in-person book fair.</p>",FAQs Flow of the Fair,,Catholic
